            beta              J0              J1              J2              J3              hx               E              E2              E4         E_trans              mz             mz2             mz4              mx             mx2             mx4              OP             OP2             OP4             ice            ice2           rho_x           rho_y
    1.000000e+00    1.000000e+00    3.000000e-01    2.500000e-02    0.000000e+00    0.000000e+00   -6.254000e-01    4.823962e-01    4.051589e-01    0.000000e+00    3.000000e-04    5.961250e-02    1.037617e-02    0.000000e+00    0.000000e+00    0.000000e+00    4.620000e-02    1.317000e-01    4.672500e-02    4.030250e-01    1.941219e-01    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    3.000000e-01    2.500000e-02    0.000000e+00    0.000000e+00   -7.993750e-01    1.049081e+00    2.758750e+00    0.000000e+00    2.110000e-03    2.438450e-01    2.425363e-01    0.000000e+00    0.000000e+00    0.000000e+00    9.860400e-01    1.000000e+00    1.000000e+00    7.509200e-01    7.509200e-01    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    3.000000e-01    2.500000e-02    0.000000e+00    0.000000e+00    8.250000e-01    6.806250e-01    4.632504e-01    0.000000e+00   -4.123000e-03    6.379969e-02    1.183572e-02    0.000000e+00    0.000000e+00    0.000000e+00   -9.006220e-01    8.548990e-01    8.205752e-01    3.723950e-02    8.586563e-03    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    3.000000e-01    2.500000e-02    0.000000e+00    0.000000e+00    8.250000e-01    6.806250e-01    4.632504e-01    0.000000e+00    2.967500e-04    6.243766e-02    1.144737e-02    0.000000e+00    0.000000e+00    0.000000e+00   -8.989070e-01    8.524385e-01    8.175571e-01    3.790600e-02    8.741812e-03    0.000000e+00    0.000000e+00
    4.000000e+01    1.000000e+00    2.000000e-01    2.500000e-02    1.000000e-01    0.000000e+00   -6.078125e-01    3.694360e-01    1.364830e-01    0.000000e+00    6.250000e-02    3.906250e-03    1.525879e-05    0.000000e+00    0.000000e+00    0.000000e+00   -1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    1.000000e+01    1.000000e+00    3.000000e-01    2.500000e-02    0.000000e+00    0.000000e+00   -6.500000e-01    4.225000e-01    1.785063e-01    0.000000e+00   -5.000000e-01    2.500000e-01    6.250000e-02    0.000000e+00    0.000000e+00    0.000000e+00   -1.000000e+00    1.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    1.000000e+01    1.000000e+00    3.000000e-01    2.500000e-02    0.000000e+00    0.000000e+00   -3.500000e-01    1.225000e-01    1.500625e-02    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    1.000000e+00    1.000000e+00    7.500000e-01    5.625000e-01    0.000000e+00    0.000000e+00
    1.000000e+01    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -5.000000e-01    2.500000e-01    6.250000e-02    0.000000e+00   -2.500000e-01    6.250000e-02    3.906250e-03    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    1.000000e+00    1.000000e+00    7.500000e-01    5.625000e-01    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    3.000000e-01    2.500000e-02    0.000000e+00    0.000000e+00   -7.367500e-01    5.749406e-01    3.626824e-01    0.000000e+00    3.000000e-02    3.000000e-02    3.000000e-02    0.000000e+00    0.000000e+00    0.000000e+00    1.000000e+00    1.000000e+00    1.000000e+00    9.700000e-01    9.700000e-01    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    3.000000e-01    2.500000e-02    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    3.000000e-01    2.500000e-02    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
    1.000000e+00    1.000000e+00    3.000000e-01    2.500000e-02    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
